region,solar_day,scene_cloud,valid_frac,cloud_frac,cloud_only_frac,shadow_frac,snow_frac,water_frac
alpine_snow,2023-07-28,97.83090301624746,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-07-31,13.995703673284563,1.0,0.13118743896484375,0.09648895263671875,0.034698486328125,0.85223388671875,0.00122833251953125
alpine_snow,2023-08-02,4.9592237583816905,1.0,0.01212310791015625,0.00940704345703125,0.002716064453125,0.9512863159179688,0.00054931640625
alpine_snow,2023-08-05,34.40270722615506,1.0,0.017364501953125,0.01195526123046875,0.00540924072265625,0.8878097534179688,0.0006256103515625
alpine_snow,2023-08-07,30.575645070852453,1.0,0.018890380859375,0.01544952392578125,0.00344085693359375,0.846405029296875,0.00040435791015625
alpine_snow,2023-08-10,80.14918499473744,1.0,0.53533935546875,0.5051040649414062,0.03023529052734375,0.46466064453125,0.0
alpine_snow,2023-08-12,99.99942933168768,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-08-15,59.934842785650844,1.0,0.8522262573242188,0.8522262573242188,0.0,0.14777374267578125,0.0
alpine_snow,2023-08-17,80.2722253741693,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-08-20,8.492779068142537,1.0,0.00217437744140625,0.00075531005859375,0.0014190673828125,0.9966354370117188,0.00057220458984375
alpine_snow,2023-08-22,39.5216505585582,1.0,0.530670166015625,0.524200439453125,0.0064697265625,0.469329833984375,0.0
alpine_snow,2023-08-25,74.79913500477322,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-08-27,65.78702059856602,1.0,1.0,1.0,0.0,0.0,0.0
alpine_snow,2023-08-30,99.98678515854154,1.0,1.0,1.0,0.0,0.0,0.0
tas_west_cloud,2023-06-01,65.64638025906949,1.0,0.58856201171875,0.5625648498535156,0.025997161865234375,0.21289443969726562,0.044200897216796875
tas_west_cloud,2023-06-03,68.37885003610053,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-06-06,64.5205266740891,1.0,0.962860107421875,0.9627876281738281,7.2479248046875e-05,0.0,2.288818359375e-05
tas_west_cloud,2023-06-08,83.13475841641517,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-06-11,0.07019022505030527,1.0,0.473114013671875,0.464385986328125,0.00872802734375,0.08317947387695312,0.0019989013671875
tas_west_cloud,2023-06-13,82.80973463292207,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-06-16,43.82535558939751,1.0,0.04975128173828125,0.032817840576171875,0.016933441162109375,0.0014801025390625,0.2655181884765625
tas_west_cloud,2023-06-18,70.26442498362216,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-06-21,0.6826923448151215,1.0,1.0,1.0,0.0,0.0,0.0
tas_west_cloud,2023-06-23,33.171744619294564,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-06-26,32.33835924370651,1.0,0.5597686767578125,0.543792724609375,0.0159759521484375,0.41350555419921875,0.00167083740234375
tas_west_cloud,2023-06-28,44.92123700298987,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-07-01,50.31469454344807,1.0,0.585357666015625,0.5721206665039062,0.01323699951171875,0.19126129150390625,0.009815216064453125
tas_west_cloud,2023-07-03,18.471143707922128,0.0,1.0,0.0,0.0,0.0,0.0
tas_west_cloud,2023-07-06,28.077214673332012,1.0,0.48578643798828125,0.1950836181640625,0.29070281982421875,0.000736236572265625,0.00067138671875
